,movie_title,movie_stars,movie_ratings,release_year,movie_duration,movie_url
143, The Sixth Sense,8.2†,100000,1999,1h 47m,https://www.imdb.com/title/tt0167404/?ref_=chttp_i_144
144, Unforgiven,8.2†,430000,1992,2h 10m,https://www.imdb.com/title/tt0105695/?ref_=chttp_i_145
145, A Beautiful Mind,8.2†,971000,2001,2h 15m,https://www.imdb.com/title/tt0268978/?ref_=chttp_i_146
146, No Country for Old Men,8.2†,100000,2007,2h 2m,https://www.imdb.com/title/tt0477348/?ref_=chttp_i_147
147, The Treasure of the Sierra Madre,8.2†,131000,1948,2h 6m,https://www.imdb.com/title/tt0040897/?ref_=chttp_i_148
148, Y√¥jinb√¥,8.2†,129000,1961,1h 50m,https://www.imdb.com/title/tt0055630/?ref_=chttp_i_149
149, Kill Bill: Vol,8.2†,1200000,2003,1h 51m,https://www.imdb.com/title/tt0266697/?ref_=chttp_i_150
150, The Thing,8.2†,455000,1982,1h 49m,https://www.imdb.com/title/tt0084787/?ref_=chttp_i_151
151, Monty Python and the Holy Grail,8.2†,562000,1975,1h 31m,https://www.imdb.com/title/tt0071853/?ref_=chttp_i_152
152, The Great Escape,8.2†,255000,1963,2h 52m,https://www.imdb.com/title/tt0057115/?ref_=chttp_i_153
153, Finding Nemo,8.2†,1100000,2003,1h 40m,https://www.imdb.com/title/tt0266543/?ref_=chttp_i_154
154, Rash≈çmon,8.2†,177000,1950,1h 28m,https://www.imdb.com/title/tt0042876/?ref_=chttp_i_155
155, The Elephant Man,8.2†,254000,1980,2h 4m,https://www.imdb.com/title/tt0080678/?ref_=chttp_i_156
156, Chinatown,8.2†,343000,1974,2h 10m,https://www.imdb.com/title/tt0071315/?ref_=chttp_i_157
157, Hauru No Ugoku Shiro,8.2†,432000,2004,1h 59m,https://www.imdb.com/title/tt0347149/?ref_=chttp_i_158
158, Dial M for Murder,8.2†,185000,1954,1h 45m,https://www.imdb.com/title/tt0046912/?ref_=chttp_i_159
159, Gone with the Wind,8.2†,329000,1939,3h 58m,https://www.imdb.com/title/tt0031381/?ref_=chttp_i_160
160, Prisoners,8.1†,783000,2013,2h 33m,https://www.imdb.com/title/tt1392214/?ref_=chttp_i_161
161, V for Vendetta,8.2†,1200000,2005,2h 12m,https://www.imdb.com/title/tt0434409/?ref_=chttp_i_162
162, Raging Bull,8.1†,373000,1980,2h 9m,https://www.imdb.com/title/tt0081398/?ref_=chttp_i_163
163," Lock, Stock and Two Smoking Barrels",8.1†,607000,1998,1h 47m,https://www.imdb.com/title/tt0120735/?ref_=chttp_i_164
164, El Secreto De Sus Ojos,8.2†,219000,2009,2h 9m,https://www.imdb.com/title/tt1305806/?ref_=chttp_i_165
165, Inside Out,8.1†,765000,2015,1h 35m,https://www.imdb.com/title/tt2096673/?ref_=chttp_i_166
166, Spider-Man: No Way Home,8.2†,847000,2021,2h 28m,https://www.imdb.com/title/tt10872600/?ref_=chttp_i_167
167," Three Billboards Outside Ebbing, Missouri",8.1†,542000,2017,1h 55m,https://www.imdb.com/title/tt5027774/?ref_=chttp_i_168
168, Trainspotting,8.1†,715000,1996,1h 33m,https://www.imdb.com/title/tt0117951/?ref_=chttp_i_169
169, The Bridge on the River Kwai,8.1†,230000,1957,2h 41m,https://www.imdb.com/title/tt0050212/?ref_=chttp_i_170
170, Fargo,8.1†,710000,1996,1h 38m,https://www.imdb.com/title/tt0116282/?ref_=chttp_i_171
171, Warrior,8.1†,491000,2011,2h 20m,https://www.imdb.com/title/tt1291584/?ref_=chttp_i_172
172, Catch Me If You Can,8.1†,1100000,2002,2h 21m,https://www.imdb.com/title/tt0264464/?ref_=chttp_i_173
173, Gran Torino,8.1†,804000,2008,1h 56m,https://www.imdb.com/title/tt1205489/?ref_=chttp_i_174
174, Klaus,8.2†,176000,2019,1h 36m,https://www.imdb.com/title/tt4729430/?ref_=chttp_i_175
175, My Neighbour Totoro,8.1†,367000,1988,1h 26m,https://www.imdb.com/title/tt0096283/?ref_=chttp_i_176
176, Million Dollar Baby,8.1†,712000,2004,2h 12m,https://www.imdb.com/title/tt0405159/?ref_=chttp_i_177
177, Harry Potter and the Deathly Hallows: Part 2,8.1†,927000,2011,2h 10m,https://www.imdb.com/title/tt1201607/?ref_=chttp_i_178
178, Bacheha-Ye Aseman,8.2†,79000,1997,1h 29m,https://www.imdb.com/title/tt0118849/?ref_=chttp_i_179
179, Blade Runner,8.1†,808000,1982,1h 57m,https://www.imdb.com/title/tt0083658/?ref_=chttp_i_180
180, 12 Years a Slave,8.1†,730000,2013,2h 14m,https://www.imdb.com/title/tt2024544/?ref_=chttp_i_181
181, Before Sunrise,8.1†,331000,1995,1h 41m,https://www.imdb.com/title/tt0112471/?ref_=chttp_i_182
182, The Grand Budapest Hotel,8.1†,868000,2014,1h 39m,https://www.imdb.com/title/tt2278388/?ref_=chttp_i_183
183, Ben-Hur,8.1†,250000,1959,3h 32m,https://www.imdb.com/title/tt0052618/?ref_=chttp_i_184
